code,name,country,city,state,city_code
GAW,Gangaw,MM,Hakha,Chin,GAW
GAX,Gamba,GA,,,GAX
GAY,Gaya Airport,IN,Bodh Gaya,Bihar,GAY
GAZ,Guasopa,PG,,,GAZ
GBA,Big Bay,VU,,,GBA
GBB,Gabala International Airport,AZ,Agdas,Agdas,GBB
GBC,Gasuke,PG,,,GBC
GBD,Great Bend,US,Great Bend,Kansas,GBD
GBE,Sir Seretse Khama International Airport,BW,Mmopone,Kweneng,GBE
GBF,Negarbo,PG,,,GBF
GBG,Galesburg,US,Galesburg,Illinois,GBG
GBH,Galbraith Lake,US,,,GBH
GBI,Auxiliary Airfield,BS,Lucaya,Freeport,GBI
GBJ,Les Bases,GP,Grand-Bourg,Guadeloupe,GBJ
GBK,Gbangbatok,SL,Mogbwemo,Southern Province,GBK
GBL,Goulburn Island,AU,,,GBL
GBM,Garbaharey,SO,Garbahaarrey,Gedo,GBM
GBO,Baltimore Greenbelt T,US,Catonsville,Maryland,BWI
GBP,Gamboola,AU,,,GBP
GBR,Walter J. Koladza Airport,US,Great Barrington,Massachusetts,GBR
GBS,Port Fitzroy,NZ,,,GBS
GBT,Gorgon Airport,IR,Gorgan,Golestan,GBT
GBU,Khashm El Girba,SD,,,GBU
GBV,Gibb River,AU,,,GBV
GBW,Ginbata Airport,AU,,,GBW
GBZ,Great Barrier Island,NZ,Coromandel,Waikato,GBZ
GCA,Guacamaya,CO,Gigante,Huila,GCA
GCC,Campbell County Airport,US,Gillette,Wyoming,GCC
GCD,Grand Coulee Dam,US,Coulee Dam,Washington,GCD
GCH,Gachsaran,IR,Dogonbadan,Kohgiluyeh va Buyer Ahmad,GCH
GCI,Guernsey Airport,GG,,,GCI
GCJ,Grand Central,ZA,Germiston,Gauteng,JNB
GCK,Garden City Municipal Airport,US,Garden City,Kansas,GCK
GCM,Owen Roberts International Airport,KY,George Town,,GCM
GCN,National Park,US,,,GCN
GCT,Grand Canyon Bar 10 Airport,US,,,GCT
GCV,Gravatai,BR,Gravatai,Rio Grande do Sul,GCV
GCW,Grand Canyon West,US,Meadview,Arizona,GCW
GCY,Municipal,US,Greeneville,Tennessee,GCY
GDA,Gounda,CF,,,GDA
GDB,Gondia Airport,IN,Gondia,Maharashtra,GDB
GDC,Donaldson Center,US,Mauldin,South Carolina,GSP
GDD,Gordon Downs,AU,,,GDD
GDE,Gode/Iddidole Airport,ET,Yeed,Bakool,GDE
GDG,Magdagachi,RU,Magdagachi,Amur,GDG
GDH,Golden Horn Lodge SPB,US,,,GDH
GDI,Gordil,CF,,,GDI
GDJ,Gandajika,CD,,,GDJ
GDL,Don Miguel Hidal Y Costilla International Airport,MX,El Quince,Jalisco,GDL
GDM,Municipal,US,Gardner,Massachusetts,GDM
GDN,Gdansk Lech Walesa Airport,PL,Banino,Pomeranian Voivodeship,GDN
GDO,Vare Maria,VE,Guasdualito,Apure,GDO
GDP,Guadalupe,BR,Sao Joao dos Patos,Maranhao,GDP
GDQ,Gondar Airport,ET,Gondar,Amhara,GDQ
GDR,Angra dos Reis Airport,BR,Angra dos Reis,,GDR
GDT,Grand Turk Island,TC,,,GDT
GDV,Dawson Community Airport,US,West Glendive,Montana,GDV
GDW,Gladwin,US,Gladwin,Michigan,GDW
GDX,Magadan Airport,RU,Sokol,Magadan,GDX
GDZ,Gelendzik Airport,RU,Gelendzhik,Krasnodarskiy,GDZ
GEA,Noumea Magenta Airport,NC,Noumea,South Province,NOU
GEB,Gebe,ID,Petani,Maluku Utara,GEB
GEC,Gecitkale,CY,Lefkonoiko,Ammochostos,GEC
GED,Sussex County,US,Georgetown,Delaware,GED
GEE,George Town,AU,,,GEE
GEF,Geva Airstrip,SB,,,GEF
GEG,Spokane International Airport,US,Airway Heights,Washington,GEG
GEI,Green Islands,PG,,,GEI
GEK,Ganes Creek,US,,,GEK
GEL,Sepe Tiaraju,BR,Santo Angelo,Rio Grande do Sul,GEL
GEM,President Obiang Nguema International Airport,GQ,Mongomo,Wele-Nzas,GEM
GEO,Cheddi Jagan International Airport,GY,Vreed-en-Hoop,Essequibo Islands-West Demerara,GEO
GER,Rafael Cabrera Airport,CU,,,GER
GES,General Santos International Airport,PH,Buayan,Soccsksargen,GES
GET,Geraldton Airport,AU,Geraldton,Western Australia,GET
GEV,Gallivare Airport,SE,Gaellivare,Norrbotten,GEV
GEW,Gewoia,PG,,,GEW
GEX,Geelong,AU,Geelong West,Victoria,GEX
GEY,South Big Horn County,US,Greybull,Wyoming,GEY
GFA,Malmstrom AFB,US,,,GTF
GFB,Togiak Fish,US,,,GFB
GFD,Pope Field,US,Greenfield,Indiana,GFD
GFE,Grenfell,AU,Grenfell,New South Wales,GFE
GFF,Griffith Airport,AU,Griffith,New South Wales,GFF
GFK,Grand Forks International Airport,US,Grand Forks,North Dakota,GFK
GFL,Warren County,US,Queensbury,New York,GFL
GFN,Grafton Airport,AU,South Grafton,New South Wales,GFN
GFO,Bartica,GY,,,GFO
GFR,Granville,FR,Donville-les-Bains,Lower Normandy,GFR
GFY,Grootfontein,,Grootfontein,Otjozondjupa,GFY
GGB,Água Boa,BR,Mozarlandia,Goias,GGB
GGC,Lumbala,AO,Zambezi,North-Western,GGC
GGD,Gregory Downs,AU,,,GGD
GGE,Georgetown,US,Georgetown,South Carolina,GGE
GGF,Almeirim,BR,,,GGF
GGG,Gregg County Airport,US,Longview,Texas,GGG
GGH,Gastão Mesquita Airport,BR,Cianorte,Parana,GGH
GGJ,Guaíra Airport,BR,Salto del Guaira,Canindeyu,GGJ
GGL,Gilgal,CO,Acandi,Choco,GGL
GGM,Kakamega Airport,KE,Kakamega,Kakamega,GGM
GGN,Gagnoa,CI,Gagnoa,Fromager,GGN
GGO,Guiglo,CI,Guiglo,Dix-Huit Montagnes,GGO
GGR,Garoe,SO,,,GGR
GGS,Gobernador Gregores,AR,Gobernador Gregores,Santa Cruz,GGS
GGT,Exuma International Airport,BS,George Town,Exuma,GGT
GGW,Glasgow International Airport,US,Glasgow,Montana,GGW
GHA,Noumerate Airport,DZ,Ghardaia,Ghardaia,GHA
GHB,Governor's Harbour Airport,BS,,,GHB
GHC,Great Harbour,BS,,,GHC
GHE,Garachine,PA,,,GHE
GHF,Giebelstadt,DE,Giebelstadt,Bavaria,GHF
GHK,Gahcho Kue Aerodrome,CA,,,GHK
GHM,Municipal,US,Centerville,Tennessee,GHM
GHN,Guanghan,CN,Guang'an,Sichuan,GHN
GHS,Melak Airport,ID,,,GHS
GHT,Ghat,LY,Ghat,Sha`biyat Ghat,GHT
GHU,Gualeguaychu,AR,Gualeguaychu,Entre Rios,GHU
GHV,Brașov-Ghimbav International Airport,RO,,,GHV
GIB,North Front Airport,GI,Gibraltar,,GIB
GIC,Boigu Island,AU,,,GIC
GID,Gitega,BI,Gitega,Gitega,GID
GIF,Gilbert Field,US,Inwood,Florida,GIF
GIG,Galeao Antonio Carlos Jobim International Airport,BR,Duque de Caxias,Rio de Janeiro,RIO
GII,Siguiri,GN,Siguiri,Kankan,GII
GIL,Gilgit Airport,PK,Gilgit,Gilgit-Baltistan,GIL
GIM,Miele Mimbale,GA,,,GIM
GIR,Girardot,CO,Girardot City,Cundinamarca,GIR
GIS,Gisborne Airport,NZ,Gisborne,Gisborne,GIS
GIT,Geita,TZ,Geita,Geita,GIT
GIU,Sigiriya Slaf Base,LK,Sigiriya,Central,GIU
GIY,Giyani,ZA,Giyani,Limpopo,GIY
GIZ,Jazan Regional Airport,SA,Jizan,Jizan,GIZ
GJA,Guanaja,HN,Guanaja,Bay Islands,GJA
GJL,Jijel Ferhat Abbas Airport,DZ,Jijel,Jijel,GJL
GJM,Guajara-Mirim,BR,Guajara Mirim,Rondonia,GJM
GJR,Gjogur,IS,,,GJR
GJT,Grand Junction Regional Airport,US,Fruitvale,Colorado,GJT
GKA,Goroka Airport,PG,,,GKA
GKD,Gokceada,TR,Gokceada,Canakkale,GKD
GKE,Geilenkirchen,DE,Geilenkirchen,North Rhine-Westphalia,GKE
GKH,Gorkha,NP,Lamjung,Western Region,GKH
GKK,Kooddoo Airport,MV,,,GKK
GKL,Great Keppel Island,AU,Yeppoon,Queensland,GKL
GKN,Gulkana,US,,,GKN
GKO,Kongoboumba,GA,Booue,Ogooue-Ivindo,GKO
GKT,Gatlinburg,US,Sevierville,Tennessee,GKT
